2.655,2.468,0.187
1.219,1.046,0.173
1.700,1.477,0.223
2.197,1.965,0.232
2.168,1.927,0.241
1.115,0.894,0.221
1.011,0.766,0.245
0.903,0.649,0.254
1.262,1.204,0.058
1.248,1.190,0.058
1.048,0.888,0.16
1.214,0.965,0.249
